S.No., Package Name
1,corelist
2,guymager
3,top
4,snmptop
5,printerbanner
6,resolvectl
7,grops
8,tcpcapinfo
9,checkgid
10,ntfsfallocate
11,xpdf.real
12,xfce4-popup-whiskermenu
13,blueman-tray
14,wc
15,pyrcc5
16,responder-BrowserListener
17,clusterd
18,fincore
19,javap
20,head
21,exo-preferred-applications
22,colormgr
23,atk6-flood_solicitate6
24,blueman-manager
25,tar
26,chromeos-tpm-recovery
27,pg_config
28,playonlinux
29,fusermount
30,uname
31,setvtrgb
32,msf-jsobfu
33,expect_timed-run
34,seq
35,wineconsole
36,pg_upgradecluster
37,usbhid-dump
38,printafm
39,lconvert
40,jps
41,lp
42,nokogiri
43,cpio
44,xminicom
45,traceroute
46,dirname
47,hsc2hs
48,X
49,linux-check-removal
50,keditbookmarks
51,net-server
52,llvm-lto2-8
53,telnet
54,paster
55,gamma4scanimage
56,thinkjettopbm
57,enable_dev_usb_boot
58,llvm-as-8
59,editcap
60,gperf
61,pmspike
62,testdisk
63,svnadmin
64,test
65,lneato
66,minicom
67,printf
68,prtstat
69,cmp
70,ntfsrecover
71,traceproto.db
72,impacket-secretsdump
73,giftopnm
74,djpeg
75,lzfgrep
76,kquitapp5
77,phar7.3
78,rx
79,pl2pm
80,pdistreport
81,nohup
82,whirlpooldeep
83,snmpcheck
84,llvm-profdata-8
85,atk6-thcping6
86,cd-create-profile
87,sar
88,dropuser
89,nm
90,hciattach
91,smbspool
92,glib-mkenums
93,ldapurl
94,pg_dropcluster
95,sccmap
96,plymouth
97,netkey-tool
98,apt-sortpkgs
99,python2-qr
100,mysql_convert_table_format
101,ldapdelete
102,bulk_extractor
103,hwloc-compress-dir
104,dev_make_keypair
105,rsync
106,pnmtotiff
107,pdftohtml
108,hex2hcd
109,lft
110,dump_kernel_config
111,pgmcrater
112,JxrDecApp
113,dbus-uuidgen
114,xsm
115,pbmtoascii
116,kcookiejar5
117,proxytunnel
118,ppmcolormask
119,ppmshift
120,cadaver
121,chown
122,mysql_waitpid
123,kill
124,ptargrep
125,x11_spike
126,make-cadir
127,debianbts
128,setpci
129,pg_dumpall
130,kali-undercover
131,mp3-decoder
132,expect_xkibitz
133,domainname
134,kismet_cap_kismetdb
135,x86_64-linux-gnu-ar
136,mimikatz
137,impacket-samrdump
138,asan_symbolize
139,crunch
140,snmpusm
141,lsusb
142,atk6-sendpees6
143,select-default-iwrap
144,mmcli
145,fgrep
146,blueman-assistant
147,pfbtopfa
148,vim.tiny
149,createuser
150,scp-dbus-service
151,systemd-tmpfiles
152,qmlprofiler
153,atk6-flood_router6
154,ppmtouil
155,make
156,uic3
157,pbmtogem
158,grep
159,apt-key
160,qtdiag
161,update-mime-database
162,x11perfcomp
163,zcat
164,xmodmap
165,mysqlshow
166,atk6-fake_dns6d
167,ldapmodify
168,line_send_tcp
169,pgmhist
170,pdfinfo
171,pybabel
172,llvm-pdbutil-8
173,pg_renamecluster
174,xfce4-panel
175,ri
176,osage
177,x86_64-linux-gnu-python-config
178,svnbench
179,sp64
180,atom
181,rdma
182,bzmore
183,pkttyagent
184,fuser
185,ipython3
186,lstopo-no-graphics
187,pod2man
188,xconsole
189,zdump
190,fromdos
191,jjs
192,column
193,asan_symbolize-8
194,ppmtoeyuv
195,GET
196,ppmtobmp
197,migrate-pubring-from-classic-gpg
198,kwriteconfig5
199,crossystem
200,fc-query
201,ffind
202,caca-config
203,xargs
204,git-upload-archive
205,xdg-email
206,mpg123-strip
207,chafa
208,mysqlreport
209,vncviewer
210,mgrtopbm
211,mech-dump
212,fc-cat
213,choom
214,import
215,qtplugininfo
216,pyhtmlizer
217,w
218,vbutil_key
219,burpsuite
220,myisamchk
221,bunzip2
222,xfconf-query
223,xedit
224,atk6-flood_rs6
225,pdftops
226,dpkg-name
227,haskell-compiler
228,x86_64-linux-gnu-python3-config
229,fidentify
230,crossystem_s
231,savelog
232,pbmtowbmp
233,chcon
234,bzcmp
235,gvfs-less
236,ccache
237,hwloc-annotate
238,systemd-machine-id-setup
239,firefox
240,ghci
241,ipcrm
242,atk6-connect6
243,f2py
244,kismet_cap_sdr_rtl433
245,oLschema2ldif
246,xterm
247,clang++-8
248,passmass
249,splain
250,ike-scan
251,rzsh
252,x86_64-linux-gnu-gcc-ar-9
253,mactime
254,showrgb
255,compare-im6
256,pamstretch-gen
257,ri2.5
258,kibitz
259,ppmtopcx
260,symcryptrun
261,mpris-proxy
262,atk6-fake_router6
263,dh_numpy
264,ppmfade
265,tty
266,hexdump
267,llvm-exegesis-8
268,pic
269,Xorg
270,stl2gts
271,sha256deep
272,objdump
273,ettercap-pkexec
274,xfce4-find-cursor
275,gio-querymodules
276,xsetmode
277,lorder
278,python
279,upx-ucl
280,parecord
281,myisam_ftdump
282,users
283,iasecc-tool
284,mysqlrepair
285,innochecksum
286,mpg123.bin
287,lzmainfo
288,pi3topbm
289,ppmtopict
290,logger
291,bitmap
292,mdig
293,factor
294,apt-mark
295,text2pcap
296,qdbus
297,nbtscan
298,pnmtofits
299,pygettext3.7
300,mt-gnu
301,debconf-show
302,lslocks
303,xeyes
304,hashdeep
305,atk6-smurf6
306,pnmtotiffcmyk
307,atk6-dump_dhcp6
308,swaks
309,ldappasswd
310,xzmore
311,xkbprint
312,ssh-argv0
313,wpaclean
314,autopasswd
315,convert
316,ping6
317,watch
318,jpegtran
319,find
320,printenv
321,py3versions
322,python2.7-config
323,xzegrep
324,svnserve
325,ppmtowinicon
326,animate
327,dbus-run-session
328,impacket-netview
329,twist3
330,sotruss
331,libnetcfg
332,atk6-dos-new-ip6
333,pkcs15-tool
334,mysqlanalyze
335,kismetdb_strip_packets
336,email_validator
337,hotpatcher
338,dircolors
339,xzfgrep
340,atk6-firewall6
341,ab
342,colrm
343,statd_spike
344,as10k1
345,dltest
346,stunnel3
347,img_stat
348,dot
349,pod2html
350,base32
351,ss_spike
352,pg_archivecleanup
353,llvm-lib-8
354,lpq
355,us428control
356,pdftocairo
357,mpg123-pulse
358,vdir
359,pwdx
360,captype
361,parse-edid
362,sqldiff
363,cat
364,dpkg-buildflags
365,tftp
366,x86_64-linux-gnu-python2.7-config
367,dnsdomainname
368,7zr
369,qlalr
370,display-im6.q16
371,autopsy
372,systemd-id128
373,trial
374,cvt
375,fc-scan
376,mac2unix
377,ucfq
378,mysql_setpermission
379,manpath
380,obexctl
381,gpg-wks-server
382,unpigz
383,sunrpcfuzz
384,pphs
385,faraday-manage
386,pyuic5
387,recon-cli
388,dropdb
389,ppmcie
390,rdoc2.5
391,getcifsacl
392,bdftopcf
393,gnome-text-editor
394,systemd-hwdb
395,expect_mkpasswd
396,thunar-volman
397,pulseaudio
398,apt-extracttemplates
399,rgb3toppm
400,rahash2
401,xlogo
402,rawshark
403,hcidump
404,zforce
405,python3-wsdump
406,ppmtoxpm
407,kismetdb_dump_devices
408,anytopnm
409,xfce4-popup-notes
410,cryptoflex-tool
411,apt-cache
412,atk6-fake_mipv6
413,sc-hsm-tool
414,diff3
415,newgrp
416,ntfscat
417,dirmngr-client
418,fcgistarter
419,debconf-set-selections
420,python2-wsdump
421,ntfs-3g.probe
422,x86_64-linux-gnu-gcc-ar
423,mogrify
424,ssh-keyscan
425,dpkg-vendor
426,pwnat
427,gem
428,django-admin
429,tcpreplay
430,xfd
431,atk6-redir6
432,apm
433,pg_lsclusters
434,xfce4-power-manager-settings
435,llvm-extract-8
436,pnmtosir
437,rlogin
438,mako-render
439,ftp-rfc
440,pnmscalefixed
441,unzip
442,enc2xs
443,hsdb
444,expect_tknewsbiff
445,xdg-user-dirs-update
446,ps2ps
447,bdb_extend
448,perror
449,pkill
450,mysqlslap
451,pnmcut
452,pbmtox10bm
453,lft.db
454,dpkg-mergechangelogs
455,on_ac_power
456,qmllint
457,policytool
458,x86_64-linux-gnu-ld
459,ln
460,qterminal
461,msfvenom
462,sgitopnm
463,post_fuzz
464,ncursesw5-config
465,pgmtexture
466,grub-syslinux2cfg
467,icontopbm
468,lnstat
469,xdg-desktop-menu
470,linux-version
471,rvim
472,pmap
473,etterlog
474,cal
475,fcat
476,arj
477,xfce4-appfinder
478,pnmcomp
479,dbwrap_tool
480,pamstack
481,pnmscale
482,hwloc-ps
483,whereis
484,vncserver
485,x-session-manager
486,dnsenum
487,sbigtopgm
488,xinit
489,python3-config
490,thunar
491,screen
492,rstart
493,mergecap
494,llvm-modextract-8
495,paplay
496,mysqldumpslow
497,expect_xpstat
498,kismetdb_to_wiglecsv
499,ionice
500,gvfs-open
501,atk6-dnsdict6
502,base64
503,mpstat
504,atk6-fake_solicitate6
505,atk6-extract_networks6
506,tapestat
507,pgmnorm
508,snmpbulkwalk
509,automat-visualize
510,uncompress.real
511,sirtopnm
512,ettercap
513,wbmptopbm
514,apt-cdrom
515,pamdice
516,gunzip
517,flex
518,pydoc3
519,msf-find_badchars
520,pkcon
521,pgmbentley
522,nisdomainname
523,gdk-pixbuf-pixdata
524,expiry
525,zeisstopnm
526,gcc-ranlib
527,lesskey
528,objcopy
529,ps2pdf
530,pdb2
531,unix-privesc-check
532,tcpprep
533,xstdcmap
534,exo-csource
535,voiphopper
536,svnmucc
537,atk6-dnsrevenum6
538,screendump
539,ppmtopuzz
540,jardetector
541,pcre-config
542,mibdump
543,mk_modmap
544,xdg-settings
545,soelim
546,llvm-mc-8
547,convert-im6.q16
548,lwp-download
549,exe2hex
550,sp32
551,unsquashfs
552,ils
553,less
554,x86_64-linux-gnu-gcc-nm-9
555,gc
556,x86_64-linux-gnu-gcc
557,ppmspread
558,start-pulseaudio-x11
559,fplugin
560,mpg123-alsa
561,tempfile
562,netkit-ftp
563,usnjls
564,pg_receivexlog
565,pbmmask
566,qmlviewer
567,system-config-printer
568,transset
569,atk6-node_query6
570,hostnamectl
571,dpkg-scanpackages
572,encode_keychange
573,pnmtoplainpnm
574,gtscheck
575,gpgcompose
576,dbiprof
577,kismet_cap_sdr_rtladsb_mqtt
578,psfaddtable
579,brushtopbm
580,linguist
581,light-locker-command
582,grub-mkfont
583,exifautotran
584,samdump2
585,shasum
586,tcpreplay-edit
587,kreadconfig5
588,xdg-screensaver
589,fiascotopnm
590,sha1deep
591,envsubst
592,pon
593,iptables-xml
594,7za
595,pbmtonokia
596,ntlm2
597,updatedb
598,unicode_start
599,clear_console
600,xfce4-popup-clipman
601,atk6-ndpexhaust26
602,dbus-launch
603,atk6-passive_discovery6
604,ps2epsi
605,tifftopnm
606,pbmtog3
607,truncate
608,rsmangler
609,jexec
610,pg_ctlcluster
611,zsh5
612,run-parts
613,lslogins
614,ssh-copy-id
615,grotty
616,dh_numpy3
617,fsstat
618,wine64-stable
619,palmtopnm
620,kismetdb_to_kml
621,decryptdir
622,pbmtoepsi
623,ruptime
624,aria_dump_log
625,touch
626,atk6-flood_mldrouter6
627,volname
628,tightvncserver
629,gpg-zip
630,conch
631,perldoc
632,r2
633,pnmtopng
634,lbd
635,bluedevil-sendfile
636,lsof
637,sanstats-8
638,perf
639,netaddr
640,netcat
641,ntpsweep
642,python-faraday
643,atobm
644,ppmtoleaf
645,editor
646,systemd-resolve
647,opt-8
648,cifscreds
649,x86_64-linux-gnu-cpp-9
650,systemd-ask-password
651,sha384sum
652,msiexec
653,msrpcfuzz_udp
654,xcursorgen
655,rdx
656,xbmtopbm
657,pgmtoppm
658,zmore
659,bundler
660,gtk-query-settings
661,decode-edid
662,eps2eps
663,grub-editenv
664,querybts
665,reindexdb
666,recordmydesktop
667,stunnel4
668,atk6-exploit6
669,p7zip
670,see
671,macchanger
672,deb-systemd-helper
673,winecfg-stable
674,peekfd
675,llvm-dwarfdump-8
676,javadoc
677,assistant
678,xhost
679,qrttoppm
680,nop
681,cryptdir
682,rmiregistry
683,unbuffer
684,gtk-launch
685,uuidparse
686,blkcat
687,ppmhist
688,winefile-stable
689,llvm-config-8
690,isdv4-serial-debugger
691,faillog
692,xzcat
693,xfdesktop
694,lpunlock
695,haddock-ghc-8.6.5
696,faked-tcp
697,findsmb
698,uptime
699,atk6-thcsyn6
700,busybox
701,timed-read
702,quakeserver
703,svnfsfs
704,gcc
705,pip3
706,nmap
707,pnmtosgi
708,cramfsswap
709,kismetdb_statistics
710,wdctl
711,quake
712,pico
713,x86_64-linux-gnu-g++-9
714,pylupdate5
715,atk6-flood_dhcpc6
716,stream-im6.q16
717,lli-child-target-8
718,udisksctl
719,xrdb
720,hwloc-distances
721,fping6
722,mysqldump
723,xfce4-color-settings
724,pathod
725,unzipsfx
726,rarun2
727,rmdir
728,xvidtune
729,word-list-compress
730,scriptreplay
731,pnmtile
732,sharesec
733,mailmail3
734,rlogin-cwd
735,pdfimages
736,aa-enabled
737,mtvtoppm
738,mysql
739,mariadb-check
740,ssh-keygen
741,llvm-objcopy-8
742,x86_64-linux-gnu-ld.bfd
743,tkconch3
744,atk6-flood_mld26
745,smproxy
746,gvfs-set-attribute
747,mpg123-jack
748,expect_dislocate
749,xfce4-session-settings
750,sudo
751,snmpdf
752,identify-im6.q16
753,conch3
754,dcparse
755,msfpc
756,ppmtomap
757,winexe
758,ipython
759,gcov-dump-9
760,responder-RunFinger
761,sleep
762,python3.7
763,clhsdb
764,env
765,responder-FindSMB2UPTime
766,bzless
767,llvm-diff-8
768,pnmnoraw
769,curlftpfs
770,ppmrelief
771,msfd
772,ucs2any
773,cjpeg
774,nmcli
775,gv2gxl
776,post_spike
777,spctoppm
778,vacuumdb
779,dpkg-checkbuilddeps
780,llvm-stress-8
781,c_rehash
782,mkfontscale
783,apropos
784,rev
785,ckeygen3
786,ghostscript
787,jstack
788,eject
789,xfwm4-tweaks-settings
790,exo-desktop-item-edit
791,whoami
792,kactivities-cli
793,ghci-8.6.5
794,pinentry-curses
795,yaml2obj-8
796,svnauthz
797,upx
798,pnmtofiasco
799,llvm-symbolizer-8
800,llvm-readobj-8
801,btattach
802,autoexpect
803,x86_64-linux-gnu-strings
804,gts2oogl
805,icotool
806,mmls
807,dir
808,waitress-serve
809,xfce4-settings-editor
810,egk-tool
811,expect_ftp-rfc
812,xdg-dbus-proxy
813,xzcmp
814,htpasswd
815,systemd-cat
816,debconf-apt-progress
817,htdigest
818,responder-DHCP
819,bluedevil-wizard
820,size
821,oclock
822,asciitopgm
