S.No,Service,Status
1,apache-htcacheclean,disabled
2,apache-htcacheclean,disabled
3,apache2,disabled
4,apache2,disabled
5,apparmor,disabled
6,apt-daily-upgrade,static
7,apt-daily,static
8,atftpd,generated
9,auth-rpcgss-module,static
10,autovt,enabled
11,avahi-daemon,disabled
12,binfmt-support,enabled
13,blk-availability,disabled
14,blueman-mechanism,disabled
15,bluetooth,disabled
16,clean-mount-point,static
17,colord,static
18,configure-printer,static
19,console-getty,disabled
20,console-setup,enabled
21,container-getty,static
22,cron,enabled
23,cryptdisks-early,masked
24,cryptdisks,masked
25,dbus-org.freedesktop.hostname1,static
26,dbus-org.freedesktop.locale1,static
27,dbus-org.freedesktop.login1,static
28,dbus-org.freedesktop.ModemManager1,enabled
29,dbus-org.freedesktop.nm-dispatcher,enabled
30,dbus-org.freedesktop.timedate1,static
31,dbus-org.freedesktop.timesync1,enabled
32,dbus,static
33,debug-shell,disabled
34,display-manager,indirect
35,dm-event,static
36,dns2tcp,generated
37,e2scrub,static
38,e2scrub_all,static
39,e2scrub_fail,static
40,e2scrub_reap,enabled
41,emergency,static
42,fstrim,static
43,geoclue,static
44,getty-static,static
45,getty,enabled
46,haveged,enabled
47,hddtemp,generated
48,hwclock,masked
49,ifup,static
50,ifupdown-pre,static
51,ifupdown-wait-online,disabled
52,iio-sensor-proxy,static
53,inetsim,generated
54,initrd-cleanup,static
55,initrd-parse-etc,static
56,initrd-switch-root,static
57,initrd-udevadm-cleanup-db,static
58,iodined,masked
59,keyboard-setup,enabled
60,king-phisher,disabled
61,kismet,disabled
62,kmod-static-nodes,static
63,kmod,static
64,lightdm,indirect
65,live-tools,masked
66,lm-sensors,disabled
67,logrotate,static
68,lvm2-lvmpolld,static
69,lvm2-monitor,disabled
70,lvm2-pvscan,static
71,lvm2,masked
72,man-db,static
73,mariadb,disabled
74,mariadb,disabled
75,miredo,disabled
76,ModemManager,enabled
77,mysql,generated
78,network-manager,enabled
79,networking,enabled
80,NetworkManager-dispatcher,enabled
81,NetworkManager-wait-online,enabled
82,NetworkManager,enabled
83,nfs-common,masked
84,nfs-config,static
85,nfs-idmapd,static
86,nfs-utils,static
87,nginx,disabled
88,nmbd,disabled
89,nordvpn,generated
90,nordvpnd,enabled
91,ntp,disabled
92,openvpn-client,disabled
93,openvpn-server,disabled
94,openvpn,disabled
95,openvpn,disabled
96,packagekit-offline-update,static
97,packagekit,static
98,pcscd,indirect
99,phpsessionclean,static
100,plymouth-halt,static
101,plymouth-kexec,static
102,plymouth-log,static
103,plymouth-poweroff,static
104,plymouth-quit-wait,static
105,plymouth-quit,static
106,plymouth-read-write,static
107,plymouth-reboot,static
108,plymouth-start,static
109,plymouth-switch-root,static
110,plymouth,static
111,polkit,static
112,portmap,disabled
113,postgresql,disabled
114,postgresql,indirect
115,pppd-dns,enabled
116,procps,static
117,ptunnel,generated
118,python-faraday,disabled
119,quotaon,static
120,rc-local,static
121,rc,masked
122,rcS,masked
123,redsocks,disabled
124,rescue,static
125,rlinetd,generated
126,rpc-gssd,static
127,rpc-statd-notify,disabled
128,rpc-statd,disabled
129,rpc-svcgssd,static
130,rpcbind,disabled
131,rsync,enabled
132,rsyslog,enabled
133,rtkit-daemon,disabled
134,rwhod,generated
135,samba-ad-dc,masked
136,saned,masked
137,saned,indirect
138,screen-cleanup,masked
139,serial-getty,disabled
140,smartd,enabled
141,smartmontools,enabled
142,smbd,disabled
143,snmpd,disabled
144,ssh,disabled
145,ssh,static
146,sslh,disabled
147,stunnel4,generated
148,sudo,masked
149,syslog,enabled
150,sysstat,disabled
151,system-update-cleanup,static
152,systemd-ask-password-console,static
153,systemd-ask-password-plymouth,static
154,systemd-ask-password-wall,static
155,systemd-backlight,static
156,systemd-binfmt,static
157,systemd-bless-boot,static
158,systemd-boot-check-no-failures,disabled
159,systemd-boot-system-token,static
160,systemd-exit,static
161,systemd-fsck-root,enabled-runtime
162,systemd-fsck,static
163,systemd-fsckd,static
164,systemd-halt,static
165,systemd-hibernate-resume,static
166,systemd-hibernate,static
167,systemd-hostnamed,static
168,systemd-hwdb-update,static
169,systemd-hybrid-sleep,static
170,systemd-initctl,static
171,systemd-journal-flush,static
172,systemd-journald,static
173,systemd-kexec,static
174,systemd-localed,static
175,systemd-logind,static
176,systemd-machine-id-commit,static
177,systemd-modules-load,static
178,systemd-network-generator,disabled
179,systemd-networkd-wait-online,disabled
180,systemd-networkd,disabled
181,systemd-poweroff,static
182,systemd-pstore,disabled
183,systemd-quotacheck,static
184,systemd-random-seed,static
185,systemd-reboot,static
186,systemd-remount-fs,enabled-runtime
187,systemd-resolved,disabled
188,systemd-rfkill,static
189,systemd-suspend-then-hibernate,static
190,systemd-suspend,static
191,systemd-sysctl,static
192,systemd-sysusers,static
193,systemd-time-wait-sync,disabled
194,systemd-timedated,static
195,systemd-timesyncd,enabled
196,systemd-tmpfiles-clean,static
197,systemd-tmpfiles-setup-dev,static
198,systemd-tmpfiles-setup,static
199,systemd-udev-settle,static
200,systemd-udev-trigger,static
201,systemd-udevd,static
202,systemd-update-utmp-runlevel,static
203,systemd-update-utmp,static
204,systemd-user-sessions,static
205,systemd-volatile-root,static
206,udev,static
207,udisks2,disabled
208,unattended-upgrades,enabled
209,upower,disabled
210,usb_modeswitch,static
211,usbmuxd,static
212,user-runtime-dir,static
213,user,static
214,uuidd,indirect
215,wacom-inputattach,static
216,wpa_supplicant-nl80211,disabled
217,wpa_supplicant-wired,disabled
218,wpa_supplicant,disabled
219,wpa_supplicant,disabled
220,x11-common,masked
